,weight_2023,pitax_2023,total_income_2023,weight_2024,pitax_2024,total_income_2024,weight_2025,pitax_2025,total_income_2025,weight_2026,pitax_2026,total_income_2026,weight_2027,pitax_2027,total_income_2027,weight_ref_2027,pitax_ref_2027,total_income_ref_2027,weight_ref_2028,pitax_ref_2028,total_income_ref_2028,weight_ref_2029,pitax_ref_2029,total_income_ref_2029,weight_ref_2030,pitax_ref_2030,total_income_ref_2030,weight_ref_2031,pitax_ref_2031,total_income_ref_2031,weight_ref_2032,pitax_ref_2032,total_income_ref_2032,ETR,ETR_ref
48,"23,681.8244","1,572.0000","13,123.0000","21,096.7491","1,799.0000","13,093.0000","21,096.7491","2,208.0000","14,534.0000","21,096.7491","2,662.0000","16,132.0000","21,096.7491","3,166.0000","17,907.0000","21,096.7491","3,166.0000","17,907.0000","21,096.7491","3,726.0000","19,877.0000","21,096.7491","4,348.0000","22,063.0000","21,096.7491","4,956.0000","24,490.0000","21,096.7491","5,815.0000","27,184.0000","21,096.7491","6,840.0000","30,174.0000",0.1768,0.1768
49,"23,707.1797","1,678.0000","13,491.0000","21,119.3366","1,904.0000","13,461.0000","21,119.3366","2,325.0000","14,941.0000","21,119.3366","2,792.0000","16,585.0000","21,119.3366","3,311.0000","18,409.0000","21,119.3366","3,311.0000","18,409.0000","21,119.3366","3,887.0000","20,434.0000","21,119.3366","4,527.0000","22,682.0000","21,119.3366","5,146.0000","25,177.0000","21,119.3366","6,076.0000","27,946.0000","21,119.3366","7,132.0000","31,020.0000",0.1799,0.1799
50,"23,681.8244","1,764.0000","13,839.0000","21,096.7491","1,989.0000","13,808.0000","21,096.7491","2,419.0000","15,327.0000","21,096.7491","2,896.0000","17,013.0000","21,096.7491","3,425.0000","18,884.0000","21,096.7491","3,425.0000","18,884.0000","21,096.7491","4,013.0000","20,962.0000","21,096.7491","4,656.0000","23,267.0000","21,096.7491","5,329.0000","25,827.0000","21,096.7491","6,288.0000","28,668.0000","21,096.7491","7,369.0000","31,821.0000",0.1814,0.1814
51,"23,656.4691","1,869.0000","14,079.0000","21,074.1616","2,096.0000","14,047.0000","21,074.1616","2,538.0000","15,593.0000","21,074.1616","3,028.0000","17,308.0000","21,074.1616","3,573.0000","19,212.0000","21,074.1616","3,573.0000","19,212.0000","21,074.1616","4,177.0000","21,325.0000","21,074.1616","4,793.0000","23,671.0000","21,074.1616","5,567.0000","26,275.0000","21,074.1616","6,558.0000","29,165.0000","21,074.1616","7,671.0000","32,373.0000",0.1860,0.1860
52,"23,681.8244","1,930.0000","14,286.0000","21,096.7491","2,156.0000","14,254.0000","21,096.7491","2,604.0000","15,822.0000","21,096.7491","3,101.0000","17,562.0000","21,096.7491","3,654.0000","19,494.0000","21,096.7491","3,654.0000","19,494.0000","21,096.7491","4,267.0000","21,639.0000","21,096.7491","4,881.0000","24,019.0000","21,096.7491","5,696.0000","26,661.0000","21,096.7491","6,704.0000","29,594.0000","21,096.7491","7,831.0000","32,849.0000",0.1874,0.1874
53,"23,681.8244","1,985.0000","14,488.0000","21,096.7491","2,211.0000","14,456.0000","21,096.7491","2,666.0000","16,046.0000","21,096.7491","3,171.0000","17,811.0000","21,096.7491","3,731.0000","19,770.0000","21,096.7491","3,731.0000","19,770.0000","21,096.7491","4,353.0000","21,945.0000","21,096.7491","4,991.0000","24,358.0000","21,096.7491","5,816.0000","27,038.0000","21,096.7491","6,842.0000","30,012.0000","21,096.7491","7,986.0000","33,313.0000",0.1887,0.1887
54,"23,681.8244","1,984.0000","14,643.0000","21,096.7491","2,207.0000","14,610.0000","21,096.7491","2,659.0000","16,217.0000","21,096.7491","3,161.0000","18,001.0000","21,096.7491","3,718.0000","19,981.0000","21,096.7491","3,718.0000","19,981.0000","21,096.7491","4,338.0000","22,179.0000","21,096.7491","4,947.0000","24,619.0000","21,096.7491","5,812.0000","27,327.0000","21,096.7491","6,830.0000","30,333.0000","21,096.7491","7,970.0000","33,669.0000",0.1861,0.1861
55,"23,681.8244","2,059.0000","14,880.0000","21,096.7491","2,285.0000","14,847.0000","21,096.7491","2,747.0000","16,480.0000","21,096.7491","3,261.0000","18,293.0000","21,096.7491","3,832.0000","20,305.0000","21,096.7491","3,832.0000","20,305.0000","21,096.7491","4,465.0000","22,539.0000","21,096.7491","5,079.0000","25,018.0000","21,096.7491","5,996.0000","27,770.0000","21,096.7491","7,041.0000","30,824.0000","21,096.7491","8,209.0000","34,215.0000",0.1887,0.1887
56,"23,656.4691","2,159.0000","15,207.0000","21,074.1616","2,385.0000","15,173.0000","21,074.1616","2,858.0000","16,842.0000","21,074.1616","3,384.0000","18,695.0000","21,074.1616","3,968.0000","20,751.0000","21,074.1616","3,968.0000","20,751.0000","21,074.1616","4,610.0000","23,034.0000","21,074.1616","5,270.0000","25,568.0000","21,074.1616","6,218.0000","28,380.0000","21,074.1616","7,293.0000","31,502.0000","21,074.1616","8,489.0000","34,967.0000",0.1912,0.1912
57,"23,681.8244","2,281.0000","15,620.0000","21,096.7491","2,508.0000","15,584.0000","21,096.7491","2,997.0000","17,299.0000","21,096.7491","3,540.0000","19,202.0000","21,096.7491","4,143.0000","21,314.0000","21,096.7491","4,143.0000","21,314.0000","21,096.7491","4,772.0000","23,658.0000","21,096.7491","5,519.0000","26,261.0000","21,096.7491","6,503.0000","29,149.0000","21,096.7491","7,613.0000","32,356.0000","21,096.7491","8,846.0000","35,915.0000",0.1944,0.1944
